Feature_gene_name,Feature_length,NoTreat_1,NoTreat_2,NoTreat_3,NoTreat_4,Treat_1,Treat_2,Treat_3,Treat_4
MVB12B,7904,388,446,348,414,205,161,175,146
ILRUN,4551,5805,6008,4524,6085,6267,5920,5327,5572
OR11G2,4413,1,0,0,0,0,0,0,0
POTEI,6847,2,0,0,3,2,2,1,5
ADA,2809,6587,6465,5231,6184,3629,3436,3116,3339
ARID5A,3561,769,746,673,678,1848,1466,1410,1437
PATE2,1666,9,0,4,5,10,7,9,3
PPTC7,5685,1878,2038,1362,1884,2428,2264,2074,2183
KRT39,1992,0,0,1,0,11,17,5,8
TOMM20L,609,5,9,4,7,2,8,3,0
RGPD4,7212,35,16,14,18,30,35,25,19
NHLRC2,11223,1451,1532,952,1346,1210,1230,1013,1160
H2AC7,510,1,0,0,0,0,0,0,0
ZFP28,6972,427,575,365,488,362,403,353,392
CRACDL,4705,1572,1680,1388,1534,1093,1001,884,991
CBWD3,11966,85,79,68,96,64,55,57,52
SCN8A,16144,301,330,171,315,522,456,367,460
LAMB3,4647,2613,2769,2085,2607,23871,22350,19363,20741
H2BU1,2364,4,3,10,8,23,28,41,35
TEX43,490,1,0,0,0,1,0,0,0
KPNA5,11418,600,604,465,540,994,931,803,860
ANKRD36B,6771,189,213,172,190,145,141,107,137
ARHGEF12,24906,16752,19909,10677,16765,13207,12709,11540,12350
HCAR1,4769,3,11,1,4,1,4,3,0
PDLIM7,4407,5972,5955,5181,6150,6100,4507,4206,4794
FLNA,10860,129289,141248,101442,130631,78077,73226,64562,73949
TMEM26,6839,9,12,10,11,72,65,69,72
SRGAP1,26230,723,889,555,686,918,965,794,879
FAM3C,3395,4331,4452,3551,4180,5136,4940,4735,5078
NOP9,6045,2367,2388,1727,2390,2595,2358,2233,2254
ZNF705A,3628,0,0,0,0,0,5,3,2
SLC39A10,6917,2400,2474,1580,2317,952,905,888,979
CASP4,6665,4429,4457,3743,4537,8655,7802,6913,7580
AP2A1,8714,7808,7762,6174,7421,6458,5557,5174,5933
ZNF585A,10758,161,213,102,170,144,103,111,135
FUT11,4925,2766,2923,2141,2601,1761,1704,1664,1749
SMIM10L2B,2817,3,2,5,6,3,4,8,4
ANXA4,11060,4896,5157,4232,4960,4370,3961,3699,4207
LAGE3,949,485,491,491,509,362,398,340,348
WDR5B,4217,340,337,261,367,339,288,284,297
WDR45,4691,789,783,695,764,1505,1108,1118,1149
METTL9,6953,8083,8088,6761,7654,4899,4831,4562,4706
ZNF138,2850,248,255,214,248,160,155,107,121
ZNF429,7571,11,11,11,10,14,8,5,5
ZNF470,9670,337,383,275,339,396,373,312,335
SERTAD1,2084,725,698,661,735,819,813,673,722
ZNF100,6558,435,445,297,442,367,301,301,393
EOLA2,2398,914,891,813,933,768,758,581,644
ZNF398,6304,733,841,563,792,536,519,452,571
ZSCAN25,7095,613,740,538,660,768,652,647,672
ANXA6,5478,23472,23923,20378,23794,16142,14513,14384,15325
ZNF441,4748,338,306,257,338,234,223,181,213
GMFB,7796,3332,3495,2323,3191,1210,1092,1054,1109
SIGLEC15,3449,2,17,7,8,7,1,6,4
ZNF420,4077,253,306,212,237,150,147,144,150
ZNF763,3081,22,20,24,26,37,23,25,31
ZMYM1,5205,892,1017,643,976,658,625,562,606
DTHD1,7379,1,0,0,0,0,1,1,0
H4C3,405,10,20,7,8,1,1,3,2
ZSCAN26,2885,696,710,587,682,585,560,494,445
MAFG,5241,2879,2863,2403,2970,5004,3928,3723,3814
ARRDC1,3790,862,746,631,941,1144,828,734,835
KIAA1671,16453,5073,6015,3344,5053,2309,2379,1982,2467
KRT35,1778,0,0,0,0,0,0,0,1
IGF2R,22613,3435,3982,2380,3105,3785,4500,3364,3670
GAL3ST4,3264,215,236,179,220,343,278,236,235
DYNC1H1,38874,18101,25007,13498,17497,20847,23936,17894,20060
SLC6A17,6636,9,8,2,13,0,1,4,12
IFNL3,771,0,0,0,0,1,0,0,0
PCBP2,7926,8870,8936,7214,8671,5998,5000,4846,5263
ZGPAT,3331,707,659,554,618,1144,682,640,690
SLC25A29,7446,3434,3390,2725,3504,3006,1859,1673,2244
PGAP1,12761,2252,2536,1286,2162,1054,980,864,870
SRC,6482,6837,6862,5644,7120,7356,6394,6071,6368
ZNF679,1567,0,0,1,0,1,0,0,0
ZNF682,4967,0,3,0,0,0,0,0,0
OR8B8,3971,0,0,0,0,0,1,0,1
ZNF772,6096,193,229,119,198,223,230,187,180
ZNF257,5168,0,0,0,0,0,1,0,0
PCNX3,7969,5323,5345,4026,5151,5507,4776,4264,4719
ADAM32,10050,12,16,9,16,23,16,20,15
ACSL5,4137,610,564,466,571,1996,1870,1703,1719
LRRC8B,8267,4532,5019,3403,4770,3337,3312,2939,3313
ABCB8,9336,1760,1649,1456,1774,1779,1431,1270,1465
H3C12,858,13,17,11,11,3,1,6,5
SND1,6486,11777,11624,9878,11759,12280,11471,10502,11622
ZNF785,4950,695,663,584,616,442,345,326,391
SULT1A2,2216,0,1,0,0,2,2,0,1
NEK5,7055,10,19,6,6,16,10,7,8
PSMD12,5342,4931,5103,3982,4875,4511,4230,3867,4063
PIWIL2,5737,0,0,5,1,1,3,0,0
NOL4L,9448,4544,4805,3166,4343,5659,4910,4329,4893
CYSRT1,1301,6,15,9,13,20,11,19,19
SLC22A4,2721,867,1027,764,965,1650,1544,1285,1329
ZSCAN5B,2059,0,1,4,3,1,0,0,0
ENTPD4,7054,3683,3751,2597,3616,4801,3909,3604,3766
C1D,3565,852,911,727,909,729,782,732,777
TBC1D9B,11511,9377,9203,7375,8905,7235,5992,5665,6331
H4C11,389,0,8,6,8,1,6,2,5
SLC2A7,1944,2,0,8,2,0,1,1,0
FAM110D,2799,260,273,205,267,21,30,30,35
SERPINA1,4902,21,9,14,8,13,11,7,10
KANK2,7635,3277,3463,2559,3300,2807,2625,2297,2633
C6orf141,2940,659,627,520,696,158,142,138,151
GTF2E2,2580,1947,2111,1876,1918,2624,2414,2121,2237
IL27,1270,0,1,0,0,2,0,0,0
GUCA2A,597,0,0,0,0,0,1,0,0
RAD54B,5319,160,164,147,174,90,65,61,71
ZNF165,2514,13,18,14,9,8,12,11,6
SYNGAP1,8277,1472,1434,1067,1335,1546,1166,1011,1097
FITM2,4628,1256,1249,1060,1195,475,407,469,539
BLM,7876,564,614,473,636,305,256,261,289
ZNF720,9816,698,744,569,738,832,753,709,746
DDI2,12178,1879,2236,1280,1931,1303,1327,1195,1221
SVIL,12536,12559,13765,8765,12100,11366,10927,9788,10794
TRIM33,9604,2341,2578,1467,2281,2423,2255,2063,2169
LRP10,7118,14594,15193,11994,14921,21110,19334,17748,19358
PELI1,4091,989,1170,892,1179,1905,1999,1748,1879
ZNF655,8401,770,752,561,743,1083,930,850,811
MRPL21,2825,915,930,881,887,763,714,695,681
LYPD2,592,0,0,0,0,2,0,3,0
UAP1L1,5267,2661,2503,2142,2607,2995,2312,2024,2320
FBXL22,3614,6,4,7,3,8,9,5,16
ZNF786,3273,457,439,386,463,331,283,241,288
ZNF517,5389,403,377,374,350,345,294,284,314
ZNF675,6785,323,379,271,316,286,293,286,286
SLC22A5,12829,199,221,182,220,205,180,167,223
DACT3,5466,77,97,79,68,21,18,19,25
ADARB1,10049,4730,4869,3394,4626,2252,1902,1804,2061
ZNF860,3379,74,102,50,95,58,53,72,66
HTT,21404,4496,5547,3319,4441,4393,4377,3464,3877
C5AR1,2964,9,5,2,6,2,11,3,8
DIO3,2102,0,0,0,0,0,2,0,0
CYP2B6,3733,0,0,1,3,0,0,0,0
H3C4,503,0,0,0,0,0,1,0,0
DCHS2,16658,0,0,3,0,0,3,1,0
VEPH1,6543,6000,6199,4822,6063,2918,2898,2641,2821
FABP12,613,0,0,1,0,0,0,0,0
SHPK,3788,153,146,174,175,88,99,79,69
IPP,3708,416,429,262,382,254,216,201,254
MAP3K5,5263,1098,1215,822,1208,2403,2327,1905,2073
OGDHL,5726,2,1,1,0,0,3,0,0
CYP2F1,3009,0,1,1,0,0,0,0,0
GSTK1,4214,4060,4169,3563,3871,4233,3386,3275,3519
HNRNPAB,2118,12991,13297,11451,12973,8912,7977,7269,7981
OR2L5,2429,0,1,0,0,0,0,0,0
STMN3,3029,387,433,422,464,225,146,111,153
PDGFA,4151,1718,1908,1582,1858,1628,1330,1221,1480
GYPE,2007,27,29,30,26,17,24,13,22
COL13A1,11509,11982,12200,10843,11973,19961,17216,16673,17309
SPN,7382,3,1,2,2,3,2,0,1
ZNF695,3756,33,45,18,36,33,24,12,24
PCDHB11,4170,37,39,32,44,12,5,2,4
ZNF628,3566,399,392,357,354,331,297,311,290
SLC2A10,4838,27,12,6,19,8,8,3,2
ZNF665,7601,142,145,151,151,120,126,98,115
RPF2,3922,1315,1384,1159,1393,876,892,852,869
SLC28A3,5138,0,0,0,0,1,0,2,3
FAM177B,2603,3,0,1,0,18,14,19,12
MIB2,8723,1668,1546,1314,1402,1344,886,781,881
OR6Y1,5128,0,0,0,1,0,0,0,0
MYO5A,12971,16194,19073,10422,16777,6782,6481,6019,7003
GZMM,945,3,3,0,0,0,0,0,0
ATG7,8833,1820,1840,1450,1775,2017,1833,1666,1830
SIPA1L1,12412,1628,1887,1277,1629,1923,1691,1639,1607
TTC30A,5744,280,238,211,262,376,299,271,338
ELANE,1028,0,1,0,0,0,0,0,0
RAB40C,4182,1058,1142,963,1122,1112,916,876,947
PIGN,19003,1851,1995,1338,1853,1479,1433,1279,1372
COL4A6,9282,7338,7779,5387,7589,4624,4128,3881,4121
ZNF624,5093,326,303,204,309,252,219,222,227
HOXA4,1728,39,40,18,51,21,28,20,15
TOPORS,4131,1749,1803,1347,1839,1588,1367,1331,1516
BCO2,6763,56,40,27,46,18,23,8,15
KCNMB2,3542,1,0,1,0,0,3,2,0
ENTPD6,6673,4353,4387,3792,4381,4672,3656,3480,3776
DMBX1,5068,0,0,0,0,1,0,0,0
OR11L1,969,0,0,0,0,0,1,0,0
ENPP1,11423,394,418,316,366,124,131,108,95
CCDC154,2726,11,4,1,14,31,14,7,14
FAR1,7503,6907,7310,4774,6969,5489,4878,4641,5529
CPLANE1,21307,1519,1816,977,1456,1045,955,802,976
ZNF841,4288,497,536,355,468,813,625,541,659
MYH6,7281,1,0,0,4,0,0,0,0
ZNF615,4898,370,441,295,445,226,235,211,222
EOLA1,5126,547,585,433,513,502,464,427,426
CDC42SE1,4184,4953,4925,3666,4947,6843,5754,5222,5494
MPEG1,4418,7,0,2,1,12,22,19,23
SERPINB2,2741,696,698,488,674,2701,2470,2305,2420
DPP4,14432,95,90,59,66,141,130,91,138
PDCD1LG2,2432,1182,1428,994,1252,5352,5054,4583,4956
ZNF433,3095,107,107,112,128,71,93,73,55
CCER1,3244,0,0,0,0,0,1,0,0
DNAH10,16234,6,13,5,14,7,4,0,5
SPTAN1,16305,30630,35931,24510,30184,15839,16191,13179,14604
NMB,1022,166,206,165,189,183,162,134,170
PARVA,12471,14497,15919,11700,15069,10846,10055,9730,10504
KLHL14,4951,0,1,0,0,1,0,0,0
FAM114A1,4871,4775,5382,3932,5144,5593,5575,4884,5237
RPE,3523,3197,3336,2598,3295,2760,2535,2397,2582
ZNF460,4005,22,46,12,41,37,40,30,42
CR1L,2768,1,3,0,0,105,76,71,62
PHF2,5392,2675,3015,2019,2704,1858,1736,1603,1715
RPS26,2053,4637,4784,4550,4771,3112,2978,2888,3201
PSAP,3189,49532,50824,41573,49841,63902,58868,55026,59768
S100A10,1012,31606,32805,30600,32271,13636,13239,12441,13147
CFAP43,7186,30,34,32,38,28,17,24,35
LHFPL5,7533,43,57,23,35,75,43,44,50
RPL37A,6205,23090,23138,22065,22656,12506,12419,11851,12458
TXNRD3,3780,373,411,336,361,285,258,234,286
CFD,1212,8,19,4,19,14,7,12,14
STPG3,1611,11,0,1,1,5,5,0,0
MAP1LC3C,1207,0,6,0,2,4,6,4,2
MCMBP,5994,5515,5559,4395,5331,6265,6157,5499,5809
EME2,7306,757,668,554,701,1546,863,813,1009
KLHDC1,3004,75,85,42,68,75,46,38,57
ZNF81,11814,437,596,249,413,375,366,316,343
TAF13,1401,1778,1907,1587,1707,2090,2259,2011,2260
ZNF780A,7977,593,618,391,588,530,450,442,498
ATAD3A,3344,2708,2751,2452,2827,2003,1777,1514,1618
FAM118B,3534,1997,2098,1731,1989,1406,1396,1359,1351
ZNF461,4778,208,227,163,236,220,174,191,214
CCDC180,14382,47,39,31,52,40,24,23,21
SLC9A8,6946,2004,2130,1592,2040,2982,2531,2308,2440
OCLN,11259,109,89,100,105,156,165,176,148
CFAP299,4462,1,0,0,3,8,12,7,10
H4-16,2578,11,11,5,8,25,18,16,20
ZNF181,6266,364,371,290,346,280,261,216,252
INKA2,6393,12368,12981,8877,12241,3029,2854,2622,2832
ZNF44,6061,399,450,366,400,382,314,313,327
GPAA1,3268,4146,4042,3596,4287,2896,2446,2303,2557
SGTB,5727,1209,1273,854,1113,1315,1362,1205,1365
ZNF790,3854,266,245,201,208,241,171,196,191
PRB3,1386,4,0,0,4,5,2,0,1
CYRIA,5448,3354,3583,2370,3249,1297,1198,1231,1358
MYO1C,7806,22492,23313,18176,22857,21248,19686,18028,20492
NKIRAS1,5107,460,455,363,382,460,407,376,420
MEIG1,1464,4,4,6,6,3,4,3,5
KIF13B,11113,3845,4281,2860,3855,2942,2885,2437,2702
NRAP,5669,0,0,0,0,0,0,0,2
ADH5,4866,4880,4923,4208,4862,3344,3111,3156,3170
H2BC12,495,243,186,178,193,229,211,195,189
TEAD4,2275,3030,2899,2500,2953,1618,1397,1228,1362
SPG7,35761,5342,5459,4488,5135,5124,3737,3363,3998
HRNR,9629,4,2,2,7,3,2,3,4
IFNA1,878,1,1,0,1,3,3,3,2
ZNF677,9348,531,618,389,598,599,524,458,518
ERO1A,7549,3732,4030,2954,3882,6534,6177,5745,6055
ZNF823,2459,281,328,274,337,204,176,190,213
ZNF311,3176,57,47,37,53,126,74,80,71
ZNF347,9133,753,782,564,737,497,461,432,495
PLCG2,13375,148,228,154,191,37,51,28,44
FCHSD1,6072,1348,1384,1109,1352,2338,1630,1463,1602
ZNF71,6134,634,726,575,612,1289,1145,976,1200
AADACL2,5071,0,2,0,0,0,0,0,0
S100A6,971,33479,34731,33924,34601,30166,30695,29671,31297
RPL12,2453,25886,26525,25106,25807,14104,14137,13561,14801
DNM3,11329,27,42,16,30,8,11,16,10
ZNF121,7246,756,871,650,788,650,563,469,516
MPZL1,7069,6657,6717,5438,6583,13520,13066,12171,13510
VPS13A,20100,2586,3294,1457,2540,2387,2164,1888,2128
MBP,18730,448,397,338,437,479,433,376,387
ELOVL2,3988,258,257,165,229,115,132,101,102
GOLGA6L9,6576,184,194,144,164,174,129,106,111
LEKR1,5602,15,3,10,8,25,7,5,11
C1orf122,2231,1115,983,1095,1049,1012,828,802,894
CLEC9A,2857,0,1,0,0,3,0,5,4
KEL,3660,3,2,1,6,4,3,8,1
NOL8,8056,2427,2545,1858,2485,2139,1904,1843,1908
IRAK4,5629,1274,1399,1113,1456,1305,1160,1184,1302
ODAD3,2681,7,3,2,9,6,4,2,1
DLGAP2,15129,0,0,0,0,2,1,2,1
MRPL42,16368,1800,1922,1512,1681,1444,1328,1201,1368
ENTPD7,8655,1329,1647,933,1442,1294,1278,1169,1238
FCGR1B,4234,0,0,2,1,1,1,0,2
ZNF335,7545,1441,1456,1134,1460,1705,1205,1088,1216
ZNF560,2997,0,0,0,0,0,1,0,0
TUBA3C,1521,0,0,0,0,0,0,0,1
RPS4X,2930,45147,46690,40611,45521,21464,21074,20171,22987
ZNF273,8652,221,209,161,259,202,136,129,198
ZNF84,9520,1191,1280,921,1244,895,793,650,753
MAK16,4416,1072,1129,929,1067,699,721,648,714
ZNF667,8810,0,2,3,3,0,0,1,1
SIRPA,4957,5910,6055,4686,6041,4499,3995,4053,4439
GRK6,4357,2094,2261,1858,2095,1637,1332,1309,1462
PRIM1,2855,485,468,390,442,227,218,187,202
MARCHF5,4628,2559,2666,1965,2443,3043,2880,2633,2594
NPIPB13,5202,59,86,97,113,114,78,33,44
AKR1B10,1773,10,5,5,8,3,1,5,1
SULT1C4,3830,80,66,53,86,9,7,9,13
ZBTB14,4144,682,757,526,683,546,447,465,508
CD2AP,6751,4563,4853,3152,4525,6074,5688,5392,5795
NUP62CL,1867,1,0,0,3,0,0,2,1
SFI1,12176,1173,1195,942,1150,2312,1706,1589,1657
ZNF649,4354,325,305,205,343,174,155,175,194
ADH4,2453,0,0,1,0,0,0,0,0
ZNF248,7291,628,629,426,640,444,310,299,356
CHSY3,3945,8,2,2,3,7,10,7,14
TOR4A,4171,5787,5817,4964,5831,5198,4569,4446,4733
LPAR1,4171,0,0,0,0,1,0,0,0
MB,2136,0,0,0,0,0,0,0,1
HIBCH,7284,1727,1769,1590,1774,771,687,731,779
ZNF544,7216,1319,1337,1041,1284,1165,981,945,1085
TMEM229B,6363,29,35,36,36,579,518,449,474
SOWAHC,4627,179,205,127,203,259,249,215,230
ZNF770,5439,1556,1707,977,1508,1214,1157,1020,1084
NPIPB6,2135,1,1,2,1,0,1,4,0
HMGN5,2389,50,56,52,56,31,30,36,51
MIER1,8273,2857,3070,1964,3035,3162,3010,2825,3034
MAN1A2,9667,4650,5007,2980,4518,2741,2569,2483,2699
SVIP,5201,4069,4174,3604,4214,2065,2039,1910,2093
ZNF251,5045,551,582,434,532,539,405,351,377
DDRGK1,1832,3736,3742,3495,3693,3636,3196,2994,3061
TFDP1,3744,8031,8073,6403,7930,4537,4196,3840,4270
CLEC4C,1566,1,0,0,0,0,0,0,0
ZNF607,4703,212,219,181,212,188,147,119,154
BPIFA1,1081,0,0,2,0,0,0,2,0
ZNF334,6865,0,0,0,0,1,4,0,0
HSD17B11,2332,1043,1091,904,1029,710,651,637,691
SZT2,26354,2315,2423,1577,2227,2685,1917,1593,1767
SULT1C2,8399,0,0,5,1,0,2,4,1
ZXDA,5029,299,292,230,283,251,310,303,317
RPS6KL1,7526,554,576,482,614,603,459,405,505
CACNA1E,18271,0,1,2,1,0,2,0,0
QRICH1,5328,3635,3723,2775,3546,3279,2804,2763,2901
FKBP1C,1579,168,170,130,159,146,143,145,142
DDX42,8521,6770,7051,5380,6846,6638,5731,5199,5346
RPL23A,2232,15104,14438,14028,14066,8960,8535,7967,9216
SLC29A3,5438,189,178,151,179,119,112,104,110
STYX,4983,2448,2846,1935,2610,2668,2348,2263,2596
UBL5,1931,2888,2822,2819,2706,2376,2302,2042,2383
HELZ,15680,1609,1855,1034,1467,1418,1466,1221,1328
TMEM116,7989,49,56,48,54,54,48,42,49
UCKL1,3185,2268,2273,1880,2162,2209,1683,1585,1746
OR5B21,1299,0,0,0,0,1,0,0,0
CARD11,4628,117,93,94,89,84,81,68,94
ZNF485,2386,48,49,36,59,53,29,33,38
SDAD1,3491,2341,2482,1929,2299,2943,2656,2536,2695
ZKSCAN8,7580,1637,1866,922,1540,1555,1468,1224,1274
PHETA1,3361,988,1005,770,958,537,482,494,540
HYLS1,2389,925,977,813,879,832,755,763,793
MYL4,1636,68,70,70,54,73,68,57,46
ZNF442,6596,52,67,54,72,82,65,57,67
ZNF813,6246,243,261,173,268,246,238,192,200
HOXC4,2767,2,0,0,0,0,0,0,0
PIM3,2198,5741,5555,4805,5525,6470,5137,4889,5670
GET3,1451,4506,4330,3699,4347,3606,3439,3241,3332
ASPH,20047,17993,18727,13361,18007,20296,18662,17686,18863
SPRED2,5505,991,1030,654,993,783,764,662,789
WWP2,8993,2364,2508,1910,2428,2581,2327,2108,2300
GFPT1,8851,3099,3305,2069,2845,4325,4404,3932,4092
UVRAG,7346,3025,2890,2169,2927,4806,4665,4358,4692
ZNF26,20862,446,489,316,429,327,257,222,273
ITSN2,11844,3555,3836,2431,3380,5116,4781,4213,4679
NTRK1,5205,1,2,5,2,11,6,9,6
OGA,7247,5031,5571,3862,5143,5733,4757,4390,4966
MT1F,1852,21,26,33,43,26,21,28,38
TCAF1,6310,2439,2350,1963,2217,1492,1530,1473,1699
ZNF69,3362,129,153,80,139,85,68,80,95
TXNRD1,6710,29455,29883,23191,31320,37603,34578,33521,34736
NRARP,2641,1653,1639,1347,1625,570,592,557,606
ZNF583,8060,230,223,206,217,149,141,167,165
CCT8L2,2060,0,0,0,0,0,1,0,0
ZNF568,9437,127,130,113,107,80,84,86,80
ZXDB,5467,752,774,517,749,659,685,599,588
ZNF480,4844,815,819,724,882,691,628,684,658
ZNF587,7353,697,828,537,727,900,685,722,779
TPM2,3183,8880,8777,8365,8487,5816,4780,4353,4995
RTP2,1346,0,0,0,0,0,0,1,0
SH3BGRL2,4603,845,918,682,801,334,328,315,356
ZNF808,5008,195,223,143,186,222,179,174,186
ANKRD35,3363,396,377,298,384,146,102,107,114
YTHDF2,3729,5277,5318,4021,5064,4113,3881,3421,3914
TMA16,3406,978,953,840,983,1017,968,936,925
HLA-DRB5,1250,1,2,1,1,0,0,1,0
ATL1,16489,201,220,150,203,206,219,186,196
MAFK,4470,1827,1592,1420,1616,2302,1795,1614,1638
ARMH1,3290,0,1,0,2,6,0,6,1
ZNF43,8631,27,26,22,39,34,33,18,16
GPN1,3749,1932,1886,1661,1826,1413,1278,1330,1334
PLN,2989,0,1,0,1,0,0,0,0
C2CD4A,3445,10,9,10,2,3435,3199,2852,2975
ZNF28,5975,699,700,470,714,669,607,563,611
ITGBL1,6176,1685,1602,1118,1628,1168,1071,1030,1084
ZNF511,2289,351,344,328,333,300,240,231,209
ZNF627,3811,854,908,701,884,450,472,430,384
KCNRG,1625,7,18,7,7,6,3,6,3
WDHD1,6386,1589,1690,1189,1571,784,804,673,766
ZNF789,6645,214,275,196,276,259,162,157,212
CTNND1,15212,2160,2375,1653,2138,1902,1967,1801,1841
DDX39B,7007,4808,4545,3379,4765,7784,4297,4145,4692
SLC34A3,2304,7,6,7,5,6,5,5,3
RD3,3511,0,0,0,0,0,1,0,1
SPANXC,408,0,0,2,1,0,0,0,2
SH2D1B,2795,15,45,16,41,28,15,16,19
ARC,2993,73,56,67,72,20,21,26,12
NUDT16,7029,2860,3009,2180,2775,2102,1702,1617,1831
TLK1,9405,3305,3617,2537,3417,2640,2592,2361,2742
LRBA,16757,3954,4430,2466,3771,2358,2502,2259,2450
ZNF536,8659,0,0,0,0,0,0,0,1
MMP17,4001,1456,1518,1274,1451,1158,989,923,1002
BAZ1A,7698,5891,6242,4837,5738,9152,8797,8030,8152
AKR1C4,1914,0,0,0,1,0,0,0,2
COPS8,4181,3461,3463,2909,3461,2522,2341,2137,2383
CCDC69,4941,6747,6678,4842,6190,3223,2956,2661,3018
MDM4,11008,771,810,569,670,822,668,564,656
RYR2,17855,2,0,0,0,0,4,1,0
ZNF534,6371,0,0,0,0,0,0,1,0
KLHL9,5740,3020,3106,2378,3170,2966,2827,2515,2612
FAM3D,1626,193,181,166,157,77,84,97,97
NCOA6,11133,2913,3508,2086,3006,2421,2403,2133,2225
STK39,3701,1328,1384,1100,1380,723,614,597,734
TAT,5369,0,0,0,1,1,0,0,0
C6orf89,7330,4281,4533,3187,4256,3444,3298,3110,3481
CALM1,7833,26336,27213,22035,26832,15507,14409,13663,15275
TAFA2,9172,14,10,9,14,27,20,13,21
TTC37,10424,6938,7277,4838,7249,7251,6799,6146,6477
TUSC1,1476,812,741,696,826,953,863,831,759
PAPSS2,4083,7413,7682,5822,7581,7463,7662,6810,7519
SLC9A6,11402,1209,1355,957,1188,1114,1106,1006,1055
FAN1,16814,1095,1233,900,1246,1095,890,785,917
ABCA4,8547,76,105,72,85,78,34,73,70
EIF1AY,4023,0,0,0,5,0,0,0,0
MT-ND6,525,29512,29804,29147,26676,41208,25835,25162,29726
IPO9,11904,7833,8409,5918,7643,4840,4549,4081,4524
CEP290,25131,1918,2158,1541,2019,2066,1896,1649,1845
MT-CO2,684,113511,106378,99193,103501,150912,84989,84011,98996
GLMP,3471,2070,2125,1685,2038,2431,2111,1950,2221
TOGARAM1,10292,1323,1419,952,1328,1387,1276,1233,1309
DLL1,3819,810,894,646,900,1233,918,924,909
ANKRD13B,4307,2113,1983,1648,2052,986,704,669,754
ECI2,4575,4448,4793,4205,4788,1209,1140,989,1160
UNC13B,17916,4187,4428,3126,4208,3148,3324,2899,3160
TEX45,2923,6,3,4,5,2,3,3,4
MT-CYB,1141,112557,108477,85502,102377,123015,68299,69110,84864
LDB1,3776,4325,4386,3424,4239,3163,2521,2267,2588
PPP1R14C,2219,0,1,0,1,1,0,0,0
CTR9,5770,5255,5482,4214,5304,4470,4423,4066,4319
SMOC1,4369,11,12,3,9,10,18,13,22
F5,9373,13,23,18,14,2,6,1,1
MSRB1,2105,850,836,860,847,755,664,614,703
LRRTM3,6341,0,1,0,0,0,0,0,0
ZNF652,11813,613,797,451,589,382,388,350,363
SMURF1,6282,1396,1456,969,1478,3549,2965,2711,2845
SLC5A3,11566,984,1015,534,793,329,307,302,347
GPATCH3,2226,763,685,648,710,840,657,581,696
CDC42BPB,8095,10989,12070,8021,11241,10745,10062,8785,9546
PLXNB3,7007,855,819,584,827,885,593,555,605
OXCT2,1826,9,16,11,10,13,21,13,18
RPL10A,1508,20946,21146,19668,20729,9652,9984,9078,10441
COLGALT2,7806,20,6,6,15,27,21,19,26
EPS8L3,3477,1,2,1,0,0,0,0,1
EGFL6,2611,0,0,0,0,3,0,1,5
MT-ND2,1042,61228,59508,49421,57590,72966,45685,44161,51680
SYCP1,4278,0,0,0,0,0,2,0,0
APCDD1L,4210,107,92,112,76,125,114,74,77
RCSD1,8165,17,9,11,21,1657,1570,1545,1698
RASSF9,5515,769,779,495,679,13,24,22,27
FAM169A,6875,19,16,10,11,5,8,2,2
ZNF830,2238,764,726,713,737,650,581,603,609
GRIN3A,8189,11,16,10,14,7,7,5,2
MT-ND5,1812,108522,108187,73240,100406,155385,93456,90808,109815
MUC2,12667,0,0,0,0,1,1,0,0
CNOT7,10941,5237,5478,4212,5087,3736,3655,3137,3731
TMEM184B,7056,8404,8204,6355,7985,7187,6614,6226,6655
MTOR,12163,5388,5716,3603,5167,4201,4150,3608,3923
SCAMP5,4862,767,828,665,807,346,292,287,304
ZNF521,6225,9142,9688,6912,9108,3950,3507,3138,3564
ALPK2,9565,0,0,0,0,0,0,0,2
BRINP2,4492,15,11,8,12,3,0,0,1
MAGEB3,2087,0,0,0,0,0,1,0,0
LRIG2,12467,776,862,564,819,694,675,646,637
MT-CO1,1542,340065,330369,272342,301588,483870,301646,294352,353620
PNP,4134,4943,4851,4270,5115,5299,4624,4649,4824
PAX9,5682,229,297,235,288,224,219,172,193
LRRC10,2344,0,0,0,0,0,1,0,0
GK,5365,372,321,306,366,851,785,689,773
FOXJ3,6896,2293,2284,1562,2143,1769,1627,1645,1586
ZNF358,2083,1898,1689,1554,1823,935,842,819,924
SFT2D1,3089,632,595,628,599,728,730,665,697
CD247,4034,2,5,2,1,6,0,7,0
GRM3,4474,0,0,0,0,0,2,0,0
CHAMP1,5615,1133,1221,882,1280,982,973,817,935
INPP5F,7479,2071,2106,1577,2070,2182,2164,1884,2019
ARHGAP11A,6406,2853,3157,1953,2709,1352,1173,1136,1189
SUCNR1,4181,0,1,0,1,0,0,1,0
HMGN2,3189,14130,14440,12984,14005,5811,5501,5406,6025
SELENOM,3187,757,784,691,698,3396,3371,3406,3649
UBE2J1,4164,5835,6274,4691,6053,8720,8132,7609,8135
GJC2,2165,68,57,83,74,47,23,35,39
OPA1,9040,3995,4395,3134,3988,3081,3035,2854,3040
DENND4B,7606,2240,2348,1767,2370,2842,2107,1880,2156
RYR3,20353,57,76,42,55,87,61,50,58
ZNF277,4745,1226,1296,959,1044,1181,1178,1144,1227
MT-ND3,346,17660,17861,16801,16932,20151,15005,14180,14650
KTI12,1708,190,165,144,174,143,162,104,156
